CustomerID,Name,Email,Phone,Lapse_Propensity,Customer_Lifetime_Value,Call_Agent
1,John Doe,johndoe@example.com,123-456-7890,0.25,1500,Agent A
2,Jane Smith,janesmith@example.com,987-654-3210,0.35,1200,Agent B
3,Alice Johnson,alicejohnson@example.com,456-789-0123,0.15,800,Agent C
4,Michael Brown,michaelbrown@example.com,321-654-0987,0.45,2000,Agent A
5,Emily Davis,emilydavis@example.com,789-012-3456,0.3,1300,Agent B
6,David Wilson,davidwilson@example.com,654-987-0123,0.2,1000,Agent C
7,Sarah Martinez,sarahmartinez@example.com,210-987-6543,0.4,1800,Agent A
8,James Anderson,jamesanderson@example.com,567-890-1234,0.1,700,Agent B
9,Linda Taylor,lindataylor@example.com,098-765-4321,0.5,2200,Agent C
10,William Thomas,williamthomas@example.com,432-109-8765,0.3,1400,Agent A
11,Patricia Jackson,patriciajackson@example.com,876-543-2109,0.2,1100,Agent B
12,Christopher White,christopherwhite@example.com,543-210-9876,0.4,1900,Agent C
13,Ruth Harris,ruthharris@example.com,210-543-6789,0.35,1250,Agent A
14,Thomas King,thomasking@example.com,678-901-2345,0.25,1550,Agent B
15,Helen Martinez,helenmartinez@example.com,345-678-9012,0.45,2050,Agent C
16,Nancy Lee,nancylee@example.com,901-234-5678,0.2,1050,Agent A
17,Anthony Walker,anthonywalker@example.com,456-789-0123,0.4,1850,Agent B
18,Karen Perez,karenperez@example.com,123-456-7890,0.3,1350,Agent C
19,Kevin Hall,kevinhall@example.com,789-012-3456,0.1,750,Agent A
20,Katherine Young,katherineyoung@example.com,098-765-4321,0.25,1600,Agent B
21,Justin Hernandez,justinhernandez@example.com,654-321-0987,0.35,1300,Agent C
22,Ashley Gonzalez,ashleygonzalez@example.com,210-987-6543,0.15,850,Agent A
23,Jose Nelson,josenelson@example.com,567-890-1234,0.45,2100,Agent B
24,Dorothy Moore,dorothymoore@example.com,109-876-5432,0.2,1150,Agent C
25,Brian Adams,brianadams@example.com,432-109-8765,0.3,1450,Agent A
26,Susan Campbell,susancampbell@example.com,876-543-2109,0.4,1950,Agent B
27,Joseph Parker,josephparker@example.com,543-210-9876,0.35,1300,Agent C
28,Michelle Evans,michelleevans@example.com,210-543-6789,0.25,1600,Agent A
29,Jason Rivera,jasonrivera@example.com,678-901-2345,0.15,900,Agent B
30,Deborah Collins,deborahcollins@example.com,345-678-9012,0.45,2000,Agent C
