CustomerID,Name,Email,Phone,Lapse_Propensity,Customer_Lifetime_Value,Call_Agent,Discount_Eligibility,Annual_Premium
1,John Doe,johndoe@example.com,123-456-7890,0.25,1500,Agent A,eligible,1000
2,Jane Smith,janesmith@example.com,987-654-3210,0.35,1200,Agent B,eligible,1100
3,Alice Johnson,alicejohnson@example.com,456-789-0123,0.15,800,Agent C,not eligible,1050
4,Michael Brown,michaelbrown@example.com,321-654-0987,0.45,2000,Agent A,eligible,1150
5,Emily Davis,emilydavis@example.com,789-012-3456,0.3,1300,Agent B,not eligible,1200
6,David Wilson,davidwilson@example.com,654-987-0123,0.2,1000,Agent C,not eligible,1250
7,Sarah Martinez,sarahmartinez@example.com,210-987-6543,0.4,1800,Agent A,eligible,1300
8,James Anderson,jamesanderson@example.com,567-890-1234,0.1,700,Agent B,eligible,1350
9,Linda Taylor,lindataylor@example.com,098-765-4321,0.5,2200,Agent C,not eligible,1400
10,William Thomas,williamthomas@example.com,432-109-8765,0.3,1400,Agent A,eligible,1450
11,Patricia Jackson,patriciajackson@example.com,876-543-2109,0.2,1100,Agent B,not eligible,1500
12,Christopher White,christopherwhite@example.com,543-210-9876,0.4,1900,Agent C,eligible,1550
13,Ruth Harris,ruthharris@example.com,210-543-6789,0.35,1250,Agent A,not eligible,1600
14,Thomas King,thomasking@example.com,678-901-2345,0.25,1550,Agent B,eligible,1650
15,Helen Martinez,helenmartinez@example.com,345-678-9012,0.45,2050,Agent C,eligible,1700
16,Nancy Lee,nancylee@example.com,901-234-5678,0.2,1050,Agent A,eligible,1750
17,Anthony Walker,anthonywalker@example.com,456-789-0123,0.4,1850,Agent B,not eligible,1800
18,Karen Perez,karenperez@example.com,123-456-7890,0.3,1350,Agent C,eligible,1850
19,Kevin Hall,kevinhall@example.com,789-012-3456,0.1,750,Agent A,not eligible,1900
20,Katherine Young,katherineyoung@example.com,098-765-4321,0.25,1600,Agent B,eligible,1950
21,Justin Hernandez,justinhernandez@example.com,654-321-0987,0.35,1300,Agent C,not eligible,2000
22,Ashley Gonzalez,ashleygonzalez@example.com,210-987-6543,0.15,850,Agent A,eligible,2050
23,Jose Nelson,josenelson@example.com,567-890-1234,0.45,2100,Agent B,eligible,2100
24,Dorothy Moore,dorothymoore@example.com,109-876-5432,0.2,1150,Agent C,not eligible,2150
25,Brian Adams,brianadams@example.com,432-109-8765,0.3,1450,Agent A,eligible,2200
26,Susan Campbell,susancampbell@example.com,876-543-2109,0.4,1950,Agent B,not eligible,2250
27,Joseph Parker,josephparker@example.com,543-210-9876,0.35,1300,Agent C,eligible,2300
28,Michelle Evans,michelleevans@example.com,210-543-6789,0.25,1600,Agent A,eligible,2350
29,Jason Rivera,jasonrivera@example.com,678-901-2345,0.15,900,Agent B,not eligible,2400
30,Deborah Collins,deborahcollins@example.com,345-678-9012,0.45,2000,Agent C,eligible,2450
